Event;Year;Location;Division;Name;Country;Place
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Kotaro Miyahira;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Lluis Peroti;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Vaic Garioud;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Nicolo Ricco;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Csillag-Virag Kocsis;HUN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Alexia Soto;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Soryn Preston;USA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Cecilia Pampinella;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Andrew Byatt;GBR;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Baptiste Cochard FRA;;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Carlos Alonso;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Oisin McGrath;IRL;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Women;Judit Verges;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Women;Elise Daudignon;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Women;Cornelia Rigatti;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Women;Yurika Horibe;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Men;Andrew Byatt;GBR;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Men;David Buill;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Men;Donald Miralle;USA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Men;Oisin McGrath;IRL;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Women;Molly Roodhouse;GBR;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Women;Yurika Horibe;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Women;Judit Verges;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race Prone Women;Cornelia Rigatti;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team Relay;Japan;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team Relay;Spain;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team Relay;France;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team Relay;USA;USA;
Paris 2024 Olympic Games;2024;Teahupo'o, French Polynesia;MEN;Kauli Vaast;FRA;
Paris 2024 Olympic Games;2024;Teahupo'o, French Polynesia;MEN;Jack Robinson;AUS;
Paris 2024 Olympic Games;2024;Teahupo'o, French Polynesia;MEN;Gabriel Medina;BRA;
Paris 2024 Olympic Games;2024;Teahupo'o, French Polynesia;WOMEN;Caroline Marks;USA;
Paris 2024 Olympic Games;2024;Teahupo'o, French Polynesia;WOMEN;Tatiana Weston-Webb;BRA;
Paris 2024 Olympic Games;2024;Teahupo'o, French Polynesia;WOMEN;Johanne Defay;FRA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U18;Dane Henry;AUS;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U18;Fletcher Kelleher;AUS;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U18;Rickson Falcao;BRA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U18;Ikko Watanabe;JPN;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U18;Vaihiti Inso;HAW;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U18;Tya Zebroski;FRA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U18;Sara Freyre;USA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U18;Milla Brown;AUS;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U16;Dylan Donegan;ESP;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U16;Lukas Skinner;GBR;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U16;Thiago Passeri;ARG;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Boys U16;Alexis Owen;NZL;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U16;Ziggy Mackenzie;AUS;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U16;Clémence Schorsch;FRA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U16;Louise Le Pront;ZAF;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Girls U16;EDNK Walla;USA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Team;Australia;AUS;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Team;France;FRA;
ISA World Junior Surfing Championship;2024;La Bocana, El Sunzal, El Salvador;Team;USA;USA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Team;Brazil;BRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Team;France;FRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Team;Australia;AUS;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Team;Spain;ESP;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Men;Gabriel Medina;BRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Men;Ramzi Boukhiam;MAR;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Men;Kauli Vaast;FRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Men;Joan Duru;FRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Women;Sally Fitzgibbons;AUS;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Women;Tati Weston Webb;BRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Women;Johanne Defay;FRA;
ISA World Surfing Games;2024;La Marginal, Arecibo, Puerto Rico;Open Women;Nadia Erostarbe;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 1;Kai Colless;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 1;Joel Taylor;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 1;Cleuson de Araujo Soares;BRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 1;Casey Proud;HAW;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 2;Freddy Marimon;COL;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 2;Davi Teixeira de Aguiar;BRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 2;Cliff Gralton;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Prone 2;Jose Martinez;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 1;Sarah Bettencourt;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 1;Paloma Oñate;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 1;Jonne Moleman;NED;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 1;Suzanne Edwards;GBR;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 2;Jocelyn Neumueller;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 2;SARAH ALMAGRO;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 2;Georgina Milagros Melatini;ARG;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Prone 2;BEATRICE DURAN;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 1;Shingo Kato;JPN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 1;Camilo Abdula;PRT;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 1;Maxime Clarkin;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 1;Suguru Nara;JPN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 2;JP Veaudry;ZAF;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 2;Forrest Weinberg;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 2;Nachman Yariv Balulu;ISR;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 2;Philippe Naud;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 3;Luciano Mercindo Silveira;BRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 3;Colin Cook;HAW;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 3;Eric Dargent;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Stand 3;Naomichi Katsukura;JPN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 1;Catalina Castro;CHI;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 1;Chikako Takao;JPN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 1;Anne-Marie Paquet;CAN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Stand 2;Zoe Smith;GBR;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Sit;Cass Eckroth;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Sit;Alana Nichols;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Sit;Lisa Franks;CAN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Sit;Alina Garbuzov;HAW;
