Event;Year;Location;Division;Name;Country;Place
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Stand 2;Zoe Smith;GBR;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Open - Sit;Fellipe Kizu Lima;BRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Open - Sit;Guillaume Colin;FRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Open - Sit;Juan Manuel Camacho;CRI;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Open - Sit;Doug Hendrikz;ZAF;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - Kneel;Llywlyn Williams;WAL;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - Kneel;Mark Mono Stewart;AUS;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - Kneel;Altair Olivares;CHI;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - Kneel;Ibon Oregui;ESP;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Kneel;Victoria Feige;CAN;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Kneel;Noemi Alvarez;CHI;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Kneel;Emmanuelle Blanchet;FRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Kneel;Audrey Pascual;ESP;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 1;Elias Ricardo Diel;BRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 1;Thomas Da Silva;FRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 1;Kirk Watson;AUS;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 1;Ben Neumann;GER;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 2;Roy Calderon.;CRI;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 2;Jack Jackson;AUS;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 2;Miguel Flavio;BRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;MEN - VI 2;Aaron Paulk;HAW;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 1;Marta Paco;PRT;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 1;Valentine Moskoteoc;FRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 1;Barbie Pacheco;USA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 2;Alelí Medina;PRI;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 2;Melissa Reid;GBR;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 2;Ling Pai;CAN;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - VI 2;Alison Eakin;USA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Team;USA;USA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Team;France;FRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Team;Brazil;BRA;
ISA World Para Surfing Championship;2022;Pismo Beach, California;Team;Spain;ESP;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Stand 3;Maria Martin-Granizo;ESP;
ISA World Para Surfing Championship;2022;Pismo Beach, California;WOMEN - Stand 3;Mireia Cabanes;ESP;
Tokyo 2020 Olympic Games;2021;Tsurigasaki Beach, Japan;MEN;Italo Ferreira;BRA;
Tokyo 2020 Olympic Games;2021;Tsurigasaki Beach, Japan;MEN;Kanoa Igarashi;JPN;
Tokyo 2020 Olympic Games;2021;Tsurigasaki Beach, Japan;MEN;Owen Wright;AUS;
Tokyo 2020 Olympic Games;2021;Tsurigasaki Beach, Japan;WOMEN;Carissa Moore;USA;
Tokyo 2020 Olympic Games;2021;Tsurigasaki Beach, Japan;WOMEN;Bianca Buitendag;ZAF;
Tokyo 2020 Olympic Games;2021;Tsurigasaki Beach, Japan;WOMEN;Amuro Tsuzuki;JPN;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Team;France;FRA;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Team;Japan;JPN;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Team;PRTtugal;PRT;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Team;Peru;PER;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Men;Joan Duru;FRA;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Men;Kanoa Igarashi;JPN;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Men;Jeremy Flores;FRA;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Men;Hiroto Ohhara;JPN;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Women;Sally Fitzgibbons;AUS;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Women;Yolanda Sequeira;PRT;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Women;Teresa Bonvalot;PRT;
ISA World Surfing Games;2021;La Bocana, El Sunzal, El Salvador;Open Women;Daniella Rosas;PER;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 1;Bruno Hansen;DNK;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 1;Casey Proud;HAW;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 1;Nicolas Gallegos;ARG;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 1;Miguel Rojas;CHI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 2;Jose Martinez;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 2;Jesse Billauer;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 2;Claudio Morales;CHI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Prone 2;Tomoki Fujiwara;JPN;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 1;Sarah Bettencourt;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 1;Minoshka Solís;CRI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 1;Claudia Palacios;CHI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 1;Katherine Beattie;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 2;Jocelyn Neumueller;AUS;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 2;Sarah Almagro;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 2;Samantha Bloom;AUS;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Prone 2;Hannah Dines;GBR;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 1;Mike Richards;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 1;Jonathan Borba;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 1;Harrison Doi;HAW;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 1;Camilo Abdula;PRT;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 2;Adi Klang;ISR;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 2;Nachman Balulu;ISR;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 2;Philippe Naud;FRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 2;Baldir Vallejos;CRI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 3;Alcino Neto;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 3;Colin Cook;HAW;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 3;Daniel Melendez;CRI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Stand 3;Martin Martinez;MEX;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 1;Olivia Stone;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 1;Catalina Salamanca;CHI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 1;Darian Haynes;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 1;Chikato Takao;JPN;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 2;Jimena Ruíz;CRI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 2;Malú Mendes;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 2;Maria Martin Granizo;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Stand 2;Charlotte Banfield;GBR;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Open - Sit;Fellipe Kizu Lima;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Open - Sit;Ethan Kairer;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Open - Sit;Juan Camacho;CRI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Open - Sit;Alana Nichols;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Kneel;Mark Stewart;AUS;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Kneel;Altair Olivares;CHI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Kneel;Llywelyn 'Sponge' WilliamsW;WAL;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - Kneel;Henrique Saraiva;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Kneel;Victoria Feige;CAN;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Kneel;Noemí Álvarez;CHI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Kneel;Audrey Pascual;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - Kneel;Ana Barbara Garcia;MEX;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 1;Elias Figue Diel;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 1;Kirk Watson;AUS;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 1;Ben Neumann;GER;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 1;Aitor Francescena;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 2;Roy Calderon;CRI;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 2;Miguel Flavio;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 2;Aaron Paulk;HAW;
ISA World Para Surfing Championship;2021;Pismo Beach, California;MEN - VI 2;Matt Formston;AUS;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 1;Marta Paco;PRT;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 1;Carmen Lopez;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 1;Barbie Pacheco;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 2;Melissa Reid;GBR;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 2;Sarah Jane Gibson;AUS;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 2;Ling Pai;CAN;
ISA World Para Surfing Championship;2021;Pismo Beach, California;WOMEN - VI 2;Celia Gramse;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Team;USA;USA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Team;Spain;ESP;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Team;Brazil;BRA;
ISA World Para Surfing Championship;2021;Pismo Beach, California;Team;Costa Rica;CRI;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 1;Bruno Hansen;DNK;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 1;Marcos Tapia;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 1;Daniel de la Vega;MEX;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 1;Gavin Bellis;AUS;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 2;Jesse Billauer;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 2;Davi Teixeira;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 2;Jose Martinez;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Prone 2;Eduardo Mayr;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 1;Sarah Bettencourt;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 1;Tracy McKay;ZAF;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 1;Ann Yoshida;HAW;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 1;Isabella Desseno;URU;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 2;Sam Bloom;AUS;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 2;N. Makalima;ZAF;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 2;Georgina Melatini;ARG;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Prone 2;Katell Ropert;FRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 1;Mike Vaz;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 1;Jonathan Borba;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 1;Antony Smyth;ZAF;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 1;Ibon Muguerza;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 2;Roberto Pino;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 2;Philippe Naud;FRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 2;JP Veaudry;ZAF;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 2;Adi Klang;ISR;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 3;Colin Cook;HAW;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 3;Eric Dargent;FRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Stand 3;N. Katukura;JPN;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 1;Liv Stone;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 1;Faith Lennox;HAW;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 1;Zoe Giannini;ARG;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 1;Catalina Castro;CHI;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 2;Malu Mendes;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 2;Charlotte Banfield;GBR;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 2;Jimena Ruiz;CRI;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Stand 2;Maria M. Granizo;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WAVE SKI INVITATIONAL (MEN/WOMEN);Jeff Munson;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WAVE SKI INVITATIONAL (MEN/WOMEN);Alana Nichols;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WAVE SKI INVITATIONAL (MEN/WOMEN);Charles Webb;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WAVE SKI INVITATIONAL (MEN/WOMEN);Ethan Kairer;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Kneel;Alcino Neto;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Kneel;Mark Stewart;AUS;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Kneel;Henrique Savaira;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - Kneel;Llywelyn Williams;WAL;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Kneel;Victoria Feige;CAN;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Kneel;Noemi Alvarez;CHI;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Kneel;Paloma Onate;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - Kneel;Audrey Pascual;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 1;Aitor Francesena;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 1;Elias Ricardo Diel;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 1;Henry Martinez;CRI;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 1;Joshua Loya;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 2;Matthew Formston;AUS;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 2;Roy Calderon;CRI;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 2;Aaron Paulk;HAW;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;MEN - VI 2;Shigeru Fujisaki;JPN;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 1;Carmen Lopez;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 1;Barbie Pacheco;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 1;Marta Paco;PRT;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 2;Melissa Reid;GBR;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 2;Ling Pai;CAN;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 2;Celia Gramse;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;WOMEN - VI 2;Lou Mechiche;FRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;Team;SPAIN;ESP;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;Team;USA;USA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;Team;BRAZIL;BRA;
ISA World Para Surfing Championship;2020;La Jolla Beach, California;Team;HAWAII;HAW;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team;France;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team;Spain;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team;USA;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team;Italy;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Men;Benoit Carpentier;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Men;Airton Cozzolino;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Men;Alex Salazar;BRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Men;Riki Horikoshi;JPN;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Women;Justine Dupont;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Women;Shakira Westdorp;AUS;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Women;Iballa Ruano Moreno;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;SUP Surf Women;Vania Torres;PER;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Men;Connor Baxter;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Men;Vinnicius Martins;BRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Men;Martin Vitry;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Women;Esperanza Barreras;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Women;Amandine Chazot;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Women;Rika Okuaki;JPN;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race SUP Women;Caterina Stenta;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Men;Claudio Nika;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Men;Connor Baxter;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Men;Itzel Delgado;PER;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Women;Jade Howson;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Women;Jessika Matos de Souza;BRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Women;Caterina Stenta;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Sprint SUP Race Women;Amandine Chazot;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Men;Vinnicius Martins;BRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Men;Itzel Delgado;PER;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Men;Caludio Nika;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Women;Esperanza Barreras;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Women;Amandine Chazot;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Women;Rika Okuaki;JPN;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race SUP Women;Mariana Carrasco Zanini;MEX;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Boys;Christian Andersen;DNK;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Boys;Rai Taguchi;JPN;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Boys;Marius Auber;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Boys;Tyler Bashor;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Girls;Jade Howson;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Girls;Duna Gordillo;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Girls;Laura Dal Pont;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Junior Girls;Anaïs Guyomarch;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Men;Julen Marticorena;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Men;Bart Schade;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Men;Carlos Alonso Ruiz;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Men;Andrew Byatt;GBR;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Women;Itziar Abascal;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Women;Yurika Mitsui;JPN;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Women;Cornelia Rigatti;ITA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Tech Race Prone Women;Tiana Pugliese;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Men;Hunter Pflueger;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Men;David Buil Sanz;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Men;Sam Norton;GBR;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Men;Julen Marticorena;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Women;Tyra Buncombe;ZAF;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Women;Camile Rosa Perottea;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Women;Daniela Spais;ARG;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Distance Race Prone Women;DESQ;DESQ;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team Relay;Spain;ESP;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team Relay;France;FRA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team Relay;USA;USA;
ISA World SUP And Paddleboard Championship;2019;El Sunzal, El Salvador;Team Relay;Japan;JPN;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Team;USA;USA;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Team;Japan;JPN;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Team;Spain;ESP;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U18;Dimitri Poulos;USA;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U18;Alan Cleland;MEX;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U18;Tommy Coleman;USA;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U18;Joh Azuchi;JPN;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Girls U18;Gabriela Bryan;HAW;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Girls U18;Minami Nonaka;JPN;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Girls U18;Noah Lia Klapp;GER;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Girls U18;Sara Wakita;JPN;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U16;Jackson Bunch;HAW;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U16;Taj Lindblad;USA;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U16;Afonso Antunes;PRT;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Boys U16;Ryan Huckabee;USA;
ISA World Junior Surfing Championship;2019;Huntington Beach, CA;Girls U16;Noah Lia Klapp;GER;
